id;product;date;comment;image;image_content_type
1;Berkshire implementation;2022-04-23;Integrated;../fake-data/blob/hipster.png;image/png
2;secondary back-end;2022-04-23;Chair Games Down-sized;../fake-data/blob/hipster.png;image/png
3;Dollar networks;2022-04-23;Interactions;../fake-data/blob/hipster.png;image/png
4;Infrastructure pink;2022-04-23;Checking maximize Designer;../fake-data/blob/hipster.png;image/png
5;Clothing Sleek;2022-04-23;protocol;../fake-data/blob/hipster.png;image/png
6;Hill;2022-04-23;web-enabled;../fake-data/blob/hipster.png;image/png
7;quantifying;2022-04-23;cross-platform grow;../fake-data/blob/hipster.png;image/png
8;Ameliorated focus online;2022-04-23;District Iceland Cook;../fake-data/blob/hipster.png;image/png
9;Account Ghana;2022-04-23;AI;../fake-data/blob/hipster.png;image/png
10;Harbor Computers;2022-04-23;Tajikistan;../fake-data/blob/hipster.png;image/png
