id;product;product_id;target;primary_concern
1;SMTP;986;Movies eyeballs;Industrial
2;Steel Internal synthesizing;11713;out-of-the-box;Panama
3;Kwacha;67244;wireless Account;Rapids Ball
4;Angola Buckinghamshire override;34973;Florida;Games
5;Rubber COM;54444;neural SQL synergize;yellow
6;Plastic Money Investment;88781;Supervisor Rubber green;indexing
7;robust;34390;port;leverage Station orchid
8;Uganda Generic;8342;Kuwait;web-enabled connecting Missouri
9;demand-driven open-source open-source;25275;ubiquitous Groves;system-worthy service-desk
10;protocol architectures;28785;Ethiopian Bacon Central;infomediaries
