id;product;date;comment;image;image_content_type
1;Berkshire implementation;2022-04-18;Integrated;../fake-data/blob/hipster.png;image/png
2;secondary back-end;2022-04-17;Chair Games Down-sized;../fake-data/blob/hipster.png;image/png
3;Dollar networks;2022-04-17;Interactions;../fake-data/blob/hipster.png;image/png
4;Infrastructure pink;2022-04-18;Checking maximize Designer;../fake-data/blob/hipster.png;image/png
5;Clothing Sleek;2022-04-18;protocol;../fake-data/blob/hipster.png;image/png
6;Hill;2022-04-18;web-enabled;../fake-data/blob/hipster.png;image/png
7;quantifying;2022-04-18;cross-platform grow;../fake-data/blob/hipster.png;image/png
8;Ameliorated focus online;2022-04-17;District Iceland Cook;../fake-data/blob/hipster.png;image/png
9;Account Ghana;2022-04-18;AI;../fake-data/blob/hipster.png;image/png
10;Harbor Computers;2022-04-17;Tajikistan;../fake-data/blob/hipster.png;image/png
